,0,1,2,3
0,61,62,67,62.14
1,49,50,55,50.14
2,62,63,68,63.13999999999999
3,57,58,63,58.14
4,52,53,58,53.14
5,50,51,56,51.14
6,57,58,63,58.14
7,56,57,62,57.14
8,61,62,67,62.14
9,58,59,64,59.14
10,60,61,66,61.14
11,56,57,62,57.14
12,58,59,64,59.14
13,63,64,69,64.14
14,57,58,63,58.14
15,55,56,61,56.14
16,59,60,65,60.14
17,56,57,62,57.14
18,58,59,64,59.14
19,60,61,66,61.14
20,57,58,63,58.14
21,59,60,65,60.14
22,62,63,68,63.13999999999999
23,60,61,66,61.14
24,61,62,67,62.14
25,59,60,65,60.14
26,64,65,70,65.14
27,64,65,70,65.14
28,58,59,64,59.14
29,59,60,65,60.14
30,66,67,72,67.14
31,65,66,71,66.14
32,72,73,75,72.92999999999999
33,66,67,71,67.07
34,69,70,74,70.07000000000001
35,62,63,67,63.06999999999999
36,62,63,68,63.13999999999999
37,66,67,72,67.14
38,63,63,71,63.559999999999995
39,68,68,76,68.56
40,69,69,77,69.56
41,50,50,58,50.56
42,61,61,69,61.56
43,69,69,77,69.56
44,62,62,70,62.559999999999995
45,69,69,77,69.56
46,72,72,80,72.55999999999999
47,65,65,73,65.56
48,63,64,69,64.14
49,71,72,77,72.14
50,63,64,69,64.14
51,65,66,71,66.14
52,70,71,76,71.13999999999999
53,69,70,75,70.14
54,72,73,78,73.13999999999999
55,67,68,73,68.14
56,70,71,76,71.13999999999999
57,67,68,73,68.14
58,62,63,68,63.13999999999999
59,68,69,74,69.14
60,63,64,69,64.14
61,61,62,67,62.14
62,76,77,82,77.13999999999999
63,75,76,81,76.14
64,73,73,81,73.56
65,71,71,79,71.56
66,71,71,79,71.56
67,78,78,86,78.55999999999999
68,72,72,80,72.55999999999999
69,66,66,74,66.56
70,72,72,80,72.55999999999999
71,69,69,77,69.56
72,75,76,81,76.14
73,70,71,76,71.13999999999999
74,66,67,72,67.14
75,67,68,73,68.14
76,72,73,78,73.13999999999999
77,74,75,80,75.13999999999999
78,70,71,76,71.13999999999999
79,67,68,73,68.14
80,73,73,81,73.56
81,72,72,80,72.55999999999999
82,72,72,80,72.55999999999999
83,74,74,82,74.55999999999999
84,76,76,84,76.55999999999999
85,77,77,85,77.56
86,75,75,83,75.56
87,73,73,81,73.56
88,73,73,81,73.56
89,77,77,85,77.56
90,77,77,85,77.56
91,71,71,79,71.56
92,69,69,77,69.56
93,72,72,80,72.55999999999999
94,73,73,81,73.56
95,72,72,80,72.55999999999999
96,80,81,86,81.14
97,82,83,88,83.13999999999999
98,78,79,84,79.13999999999999
99,81,82,87,82.14
100,72,73,78,73.13999999999999
101,77,78,83,78.14
102,74,75,80,75.13999999999999
103,78,79,84,79.13999999999999
104,70,71,76,71.13999999999999
105,75,76,81,76.14
106,75,76,81,76.14
107,74,75,80,75.13999999999999
108,76,77,82,77.13999999999999
109,74,75,80,75.13999999999999
110,71,72,77,72.14
111,74,75,80,75.13999999999999
112,70,71,76,71.13999999999999
113,77,78,83,78.14
114,81,82,87,82.14
115,79,80,85,80.14
116,75,76,81,76.14
117,74,75,80,75.13999999999999
118,74,75,80,75.13999999999999
119,73,74,79,74.14
120,71,72,76,72.07
121,71,72,76,72.07
122,68,69,73,69.07000000000001
123,71,72,76,72.07
124,76,77,81,77.07
125,71,72,76,72.07
126,66,67,71,67.07
127,71,72,76,72.07
128,74,75,77,74.92999999999999
129,67,68,70,67.93
130,69,70,72,69.93
131,75,76,78,75.93
132,74,75,77,74.92999999999999
133,72,73,75,72.92999999999999
134,72,73,75,72.92999999999999
135,70,71,73,70.92999999999999
136,69,70,75,70.14
137,70,71,76,71.13999999999999
138,72,73,78,73.13999999999999
139,72,73,78,73.13999999999999
140,71,72,77,72.14
141,68,69,74,69.14
142,64,65,70,65.14
143,62,63,68,63.13999999999999
144,71,72,74,71.93
145,69,70,74,70.07000000000001
146,58,59,63,59.06999999999999
147,64,65,69,65.07
148,75,76,81,76.14
149,72,73,78,73.13999999999999
150,70,70,78,70.56
151,69,69,77,69.56
152,68,69,74,69.14
153,76,77,82,77.13999999999999
154,77,78,83,78.14
155,83,84,89,84.14
156,84,85,90,85.14
157,81,82,87,82.14
158,87,88,93,88.14
159,83,84,89,84.14
160,82,82,90,82.55999999999999
161,79,79,87,79.56
162,83,83,91,83.56
163,89,89,97,89.56
164,87,87,95,87.56
165,81,81,89,81.56
166,86,86,94,86.55999999999999
167,96,96,104,96.56
168,94,94,102,94.55999999999999
169,87,87,95,87.56
170,86,86,94,86.55999999999999
171,85,85,93,85.56
172,82,82,90,82.55999999999999
173,87,87,95,87.56
174,92,92,100,92.56
175,89,89,97,89.56
176,87,87,95,87.56
177,91,91,99,91.56
178,88,89,94,89.14
179,91,92,97,92.14
180,84,85,89,85.07000000000001
181,91,92,96,92.07
182,92,93,97,93.07000000000001
183,98,99,101,98.93
184,91,92,97,92.14
185,91,92,97,92.14
186,88,89,94,89.14
187,88,89,94,89.14
188,93,94,99,94.14
189,90,91,96,91.13999999999999
190,84,85,90,85.14
191,87,88,93,88.14
192,91,92,97,92.14
193,96,97,102,97.14
194,92,93,98,93.14
195,86,87,92,87.14
196,88,89,94,89.14
197,89,90,95,90.14
198,89,90,95,90.14
199,91,92,97,92.14
200,93,94,99,94.14
201,97,98,103,98.14000000000001
202,89,90,95,90.14
203,96,97,102,97.14
204,101,102,107,102.14
205,92,93,98,93.14
206,93,94,99,94.14
207,93,94,99,94.14
208,86,87,89,86.93
209,92,93,97,93.07000000000001
210,95,96,100,96.07000000000001
211,96,97,101,97.07
212,81,82,87,82.14
213,90,91,96,91.13999999999999
214,96,96,104,96.56
215,97,97,105,97.56
216,92,93,98,93.14
217,100,101,106,101.14
218,109,110,115,110.14
219,92,93,98,93.14
220,79,80,85,80.14
221,91,92,97,92.14
222,99,100,105,100.13999999999999
223,98,99,104,99.14
224,99,100,102,99.92999999999999
225,104,105,107,104.92999999999999
226,86,87,89,86.93
227,84,85,87,84.93
228,87,88,90,87.92999999999999
229,88,89,91,88.93
230,101,102,104,101.93
231,94,95,97,94.92999999999999
232,92,92,100,92.56
233,93,93,101,93.56
234,94,95,100,95.13999999999999
235,89,90,95,90.14
236,91,92,96,92.07
237,91,92,96,92.07
238,85,86,90,86.07
239,93,94,96,93.92999999999999
240,107,108,113,108.13999999999999
241,83,84,89,84.14
242,95,96,101,96.14000000000001
243,95,96,101,96.14000000000001
244,95,96,101,96.14000000000001
245,90,91,96,91.13999999999999
246,91,92,97,92.14
247,89,90,95,90.14
248,83,83,91,83.56
249,85,85,93,85.56
250,85,85,93,85.56
251,80,80,88,80.55999999999999
252,88,88,96,88.56
253,83,83,91,83.56
254,88,88,96,88.56
255,77,77,85,77.56
256,81,82,87,82.14
257,89,90,95,90.14
258,80,81,86,81.14
259,71,72,77,72.14
260,80,81,86,81.14
261,82,83,88,83.13999999999999
262,73,74,79,74.14
263,71,72,77,72.14
264,70,70,78,70.56
265,71,71,79,71.56
266,68,68,76,68.56
267,66,66,74,66.56
268,68,68,76,68.56
269,73,73,81,73.56
270,74,74,82,74.55999999999999
271,69,69,77,69.56
272,74,75,80,75.13999999999999
273,70,71,76,71.13999999999999
274,68,69,74,69.14
275,70,71,76,71.13999999999999
276,73,74,79,74.14
277,72,73,78,73.13999999999999
278,67,68,73,68.14
279,63,64,69,64.14
280,65,65,73,65.56
281,79,79,87,79.56
282,72,72,80,72.55999999999999
283,67,67,75,67.56
284,77,77,85,77.56
285,69,69,77,69.56
286,58,58,66,58.559999999999995
287,70,70,78,70.56
288,58,59,64,59.14
289,58,59,64,59.14
290,65,66,71,66.14
291,73,74,79,74.14
292,72,73,78,73.13999999999999
293,64,65,70,65.14
294,61,62,67,62.14
295,65,66,71,66.14
296,62,63,67,63.06999999999999
297,60,61,65,61.07000000000001
298,57,58,62,58.07
299,70,71,75,71.07
300,51,52,57,52.14
301,37,38,43,38.13999999999999
302,48,49,54,49.14
303,43,44,49,44.14
304,41,42,47,42.13999999999999
305,40,41,46,41.14
306,46,47,52,47.14
307,44,45,50,45.14
308,41,42,47,42.13999999999999
309,41,42,47,42.13999999999999
310,46,47,52,47.14
311,42,43,48,43.14
312,42,43,48,43.14
313,48,49,54,49.14
314,45,46,51,46.13999999999999
315,47,48,53,48.14
316,45,46,51,46.13999999999999
317,42,43,48,43.14
318,45,46,51,46.13999999999999
319,46,47,52,47.14
320,44,45,50,45.14
321,46,47,52,47.14
322,49,50,55,50.14
323,46,47,52,47.14
324,47,48,53,48.14
325,48,49,54,49.14
326,52,53,58,53.14
327,52,53,58,53.14
328,48,49,54,49.14
329,46,47,52,47.14
330,46,47,52,47.14
331,44,45,50,45.14
332,57,58,60,57.93
333,52,53,57,53.07
334,55,56,60,56.07
335,50,51,55,51.07
336,49,50,55,50.14
337,53,54,59,54.13999999999999
338,49,49,57,49.56
339,54,54,62,54.56
340,58,58,66,58.559999999999995
341,45,45,53,45.559999999999995
342,50,50,58,50.56
343,52,52,60,52.56
344,48,48,56,48.56
345,52,52,60,52.56
346,52,52,60,52.56
347,51,51,59,51.56
348,50,51,56,51.14
349,56,57,62,57.14
350,46,47,52,47.14
351,45,46,51,46.13999999999999
352,50,51,56,51.14
353,51,52,57,52.14
354,57,58,63,58.14
355,56,57,62,57.14
356,57,58,63,58.14
357,57,58,63,58.14
358,57,58,63,58.14
359,64,65,70,65.14
360,59,60,65,60.14
361,54,55,60,55.14
362,60,61,66,61.14
363,56,57,62,57.14
364,58,58,66,58.559999999999995
365,57,57,65,57.56
366,59,59,67,59.559999999999995
367,67,67,75,67.56
368,64,64,72,64.56
369,59,59,67,59.559999999999995
370,66,66,74,66.56
371,62,62,70,62.559999999999995
372,57,58,63,58.14
373,55,56,61,56.14
374,57,58,63,58.14
375,60,61,66,61.14
376,61,62,67,62.14
377,61,62,67,62.14
378,57,58,63,58.14
379,51,52,57,52.14
380,57,57,65,57.56
381,57,57,65,57.56
382,57,57,65,57.56
383,58,58,66,58.559999999999995
384,59,59,67,59.559999999999995
385,60,60,68,60.559999999999995
386,60,60,68,60.559999999999995
387,59,59,67,59.559999999999995
388,60,60,68,60.559999999999995
389,61,61,69,61.56
390,62,62,70,62.559999999999995
391,63,63,71,63.559999999999995
392,63,63,71,63.559999999999995
393,63,63,71,63.559999999999995
394,65,65,73,65.56
395,67,67,75,67.56
396,64,65,70,65.14
397,67,68,73,68.14
398,63,64,69,64.14
399,68,69,74,69.14
400,61,62,67,62.14
401,66,67,72,67.14
402,62,63,68,63.13999999999999
403,64,65,70,65.14
404,60,61,66,61.14
405,64,65,70,65.14
406,62,63,68,63.13999999999999
407,59,60,65,60.14
408,61,62,67,62.14
409,60,61,66,61.14
410,61,62,67,62.14
411,67,68,73,68.14
412,49,50,55,50.14
413,56,57,62,57.14
414,62,63,68,63.13999999999999
415,62,63,68,63.13999999999999
416,63,64,69,64.14
417,65,66,71,66.14
418,67,68,73,68.14
419,67,68,73,68.14
420,59,60,64,60.06999999999999
421,61,62,66,62.07
422,60,61,65,61.07000000000001
423,62,63,67,63.06999999999999
424,67,68,72,68.07000000000001
425,65,66,70,66.07
426,61,62,66,62.07
427,63,64,68,64.07
428,67,68,72,68.07000000000001
429,60,61,65,61.07000000000001
430,61,62,66,62.07
431,64,65,69,65.07
432,61,62,66,62.07
433,58,59,63,59.06999999999999
434,58,59,63,59.06999999999999
435,54,55,59,55.07
436,57,58,63,58.14
437,57,58,63,58.14
438,58,59,64,59.14
439,59,60,65,60.14
440,60,61,66,61.14
441,60,61,66,61.14
442,60,61,66,61.14
443,60,61,66,61.14
444,53,54,56,53.92999999999999
445,53,54,58,54.06999999999999
446,45,46,50,46.06999999999999
447,52,53,57,53.07
448,61,62,67,62.14
449,59,60,65,60.14
450,59,59,67,59.559999999999995
451,58,58,66,58.559999999999995
452,65,66,71,66.14
453,62,63,68,63.13999999999999
454,61,62,67,62.14
455,69,70,75,70.14
456,71,72,77,72.14
457,67,68,73,68.14
458,71,72,77,72.14
459,77,78,83,78.14
460,68,68,76,68.56
461,69,69,77,69.56
462,73,73,81,73.56
463,77,77,85,77.56
464,78,78,86,78.55999999999999
465,75,75,83,75.56
466,74,74,82,74.55999999999999
467,75,75,83,75.56
468,81,81,89,81.56
469,75,75,83,75.56
470,74,74,82,74.55999999999999
471,74,74,82,74.55999999999999
472,72,72,80,72.55999999999999
473,76,76,84,76.55999999999999
474,80,80,88,80.55999999999999
475,78,78,86,78.55999999999999
476,74,74,82,74.55999999999999
477,80,80,88,80.55999999999999
478,81,82,87,82.14
479,87,88,93,88.14
480,81,82,86,82.07
481,84,85,89,85.07000000000001
482,81,82,86,82.07
483,85,86,88,85.92999999999999
484,84,85,90,85.14
485,82,83,88,83.13999999999999
486,78,79,84,79.13999999999999
487,80,81,86,81.14
488,85,86,91,86.14
489,81,82,87,82.14
490,76,77,82,77.13999999999999
491,80,81,86,81.14
492,91,92,97,92.14
493,84,85,90,85.14
494,73,74,79,74.14
495,73,74,79,74.14
496,83,84,89,84.14
497,85,86,91,86.14
498,77,78,83,78.14
499,72,73,78,73.13999999999999
500,83,84,89,84.14
501,78,79,84,79.13999999999999
502,70,71,76,71.13999999999999
503,77,78,83,78.14
504,82,83,88,83.13999999999999
505,85,86,91,86.14
506,89,90,95,90.14
507,77,78,83,78.14
508,86,87,89,86.93
509,90,91,95,91.07
510,89,90,94,90.07
511,90,91,95,91.07
512,76,77,82,77.13999999999999
513,80,81,86,81.14
514,78,78,86,78.55999999999999
515,80,80,88,80.55999999999999
516,90,91,96,91.13999999999999
517,82,83,88,83.13999999999999
518,85,86,91,86.14
519,79,80,85,80.14
520,71,72,77,72.14
521,76,77,82,77.13999999999999
522,83,84,89,84.14
523,91,92,97,92.14
524,99,100,104,100.07
525,97,98,102,98.07000000000001
526,84,85,89,85.07000000000001
527,91,92,96,92.07
528,90,91,95,91.07
529,77,78,82,78.07
530,81,82,86,82.07
531,75,76,80,76.07
532,74,74,82,74.55999999999999
533,76,76,84,76.55999999999999
534,78,79,84,79.13999999999999
535,76,77,82,77.13999999999999
536,83,84,88,84.07
537,83,84,88,84.07
538,72,73,77,73.07
539,76,77,79,76.92999999999999
540,92,93,98,93.14
541,71,72,77,72.14
542,76,77,82,77.13999999999999
543,72,73,78,73.13999999999999
544,78,79,84,79.13999999999999
545,84,85,90,85.14
546,85,86,91,86.14
547,77,78,83,78.14
548,73,73,81,73.56
549,74,74,82,74.55999999999999
550,75,75,83,75.56
551,75,75,83,75.56
552,80,80,88,80.55999999999999
553,70,70,78,70.56
554,76,76,84,76.55999999999999
555,71,71,79,71.56
556,69,70,75,70.14
557,76,77,82,77.13999999999999
558,72,73,78,73.13999999999999
559,67,68,73,68.14
560,71,72,77,72.14
561,70,71,76,71.13999999999999
562,64,65,70,65.14
563,65,66,71,66.14
564,66,66,74,66.56
565,71,71,79,71.56
566,65,65,73,65.56
567,57,57,65,57.56
568,61,61,69,61.56
569,65,65,73,65.56
570,65,65,73,65.56
571,68,68,76,68.56
572,63,64,69,64.14
573,61,62,67,62.14
574,58,59,64,59.14
575,57,58,63,58.14
576,57,58,63,58.14
577,58,59,64,59.14
578,60,61,66,61.14
579,61,62,67,62.14
580,66,66,74,66.56
581,61,61,69,61.56
582,54,54,62,54.56
583,51,51,59,51.56
584,51,51,59,51.56
585,53,53,61,53.559999999999995
586,53,53,61,53.559999999999995
587,52,52,60,52.56
588,53,54,59,54.13999999999999
589,51,52,57,52.14
590,52,53,58,53.14
591,55,56,61,56.14
592,52,53,58,53.14
593,46,47,52,47.14
594,46,47,52,47.14
595,52,53,58,53.14
596,51,52,56,52.07
597,49,50,54,50.07
598,48,49,53,49.07
599,60,61,65,61.07000000000001
600,55,56,61,56.14
601,39,40,45,40.13999999999999
602,47,48,53,48.14
603,42,43,48,43.14
604,45,46,51,46.13999999999999
605,44,45,50,45.14
606,48,49,54,49.14
607,44,45,50,45.14
608,43,44,49,44.14
609,45,46,51,46.13999999999999
610,51,52,57,52.14
611,45,46,51,46.13999999999999
612,42,43,48,43.14
613,46,47,52,47.14
614,44,45,50,45.14
615,47,48,53,48.14
616,48,49,54,49.14
617,45,46,51,46.13999999999999
618,48,49,54,49.14
619,49,50,55,50.14
620,47,48,53,48.14
621,48,49,54,49.14
622,51,52,57,52.14
623,48,49,54,49.14
624,44,45,50,45.14
625,48,49,54,49.14
626,50,51,56,51.14
627,51,52,57,52.14
628,54,55,60,55.14
629,52,53,58,53.14
630,50,51,56,51.14
631,52,53,58,53.14
632,55,56,58,55.93
633,53,54,58,54.06999999999999
634,55,56,60,56.07
635,51,52,56,52.07
636,51,52,57,52.14
637,53,54,59,54.13999999999999
638,50,50,58,50.56
639,53,53,61,53.559999999999995
640,52,52,60,52.56
641,47,47,55,47.559999999999995
642,50,50,58,50.56
643,50,50,58,50.56
644,51,51,59,51.56
645,56,56,64,56.56
646,55,55,63,55.56
647,60,60,68,60.559999999999995
648,53,54,59,54.13999999999999
649,60,61,66,61.14
650,54,55,60,55.14
651,51,52,57,52.14
652,52,53,58,53.14
653,49,50,55,50.14
654,49,50,55,50.14
655,48,49,54,49.14
656,58,59,64,59.14
657,57,58,63,58.14
658,57,58,63,58.14
659,62,63,68,63.13999999999999
660,58,59,64,59.14
661,54,55,60,55.14
662,58,59,64,59.14
663,57,58,63,58.14
664,55,55,63,55.56
665,57,57,65,57.56
666,57,57,65,57.56
667,64,64,72,64.56
668,60,60,68,60.559999999999995
669,55,55,63,55.56
670,60,60,68,60.559999999999995
671,57,57,65,57.56
672,57,58,63,58.14
673,56,57,62,57.14
674,62,63,68,63.13999999999999
675,65,66,71,66.14
676,60,61,66,61.14
677,60,61,66,61.14
678,61,62,67,62.14
679,55,56,61,56.14
680,58,58,66,58.559999999999995
681,58,58,66,58.559999999999995
682,59,59,67,59.559999999999995
683,59,59,67,59.559999999999995
684,59,59,67,59.559999999999995
685,59,59,67,59.559999999999995
686,61,61,69,61.56
687,62,62,70,62.559999999999995
688,62,62,70,62.559999999999995
689,59,59,67,59.559999999999995
690,61,61,69,61.56
691,67,67,75,67.56
692,67,67,75,67.56
693,64,64,72,64.56
694,65,65,73,65.56
695,70,70,78,70.56
696,62,63,68,63.13999999999999
697,65,66,71,66.14
698,62,63,68,63.13999999999999
699,68,69,74,69.14
700,63,64,69,64.14
701,68,69,74,69.14
702,63,64,69,64.14
703,64,65,70,65.14
704,61,62,67,62.14
